DATE,GBP
2013-09-01,0.6295247088448221
2013-10-01,0.6211951795254069
2013-11-01,0.6211180124223602
2013-12-01,0.6103888176768602
2014-01-01,0.607164541590771
2014-02-01,0.6039376736320812
2014-03-01,0.6015399422521656
2014-04-01,0.5970862192500597
2014-05-01,0.5937537109606935
2014-06-01,0.5914360066240832
2014-07-01,0.5859603890776984
2014-08-01,0.5988023952095809
2014-09-01,0.6138735420503376
2014-10-01,0.6221226825930074
2014-11-01,0.6340752013188764
2014-12-01,0.6392227051904884
2015-01-01,0.660414740457007
2015-02-01,0.6523582751647204
2015-03-01,0.6685385746757588
2015-04-01,0.6680919294494923
2015-05-01,0.6469979296066253
2015-06-01,0.6420133538777606
2015-07-01,0.6426735218508998
2015-08-01,0.6419309282321222
2015-09-01,0.6519754857217368
2015-10-01,0.6517630189663038
2015-11-01,0.6581545346847439
2015-12-01,0.6675121820973233
2016-01-01,0.6948304613674263
2016-02-01,0.6997900629811057
2016-03-01,0.7018036353428311
2016-04-01,0.6983727913960472
2016-05-01,0.6885155604516663
2016-06-01,0.7043741635556808
2016-07-01,0.7613826709304097
2016-08-01,0.7633005114113426
2016-09-01,0.76103500761035
2016-10-01,0.8110300081103
2016-11-01,0.8043758043758044
2016-12-01,0.8010894816951054
2017-01-01,0.8086035416835127
2017-02-01,0.8003201280512204
2017-03-01,0.8099133392726979
2017-04-01,0.7912018355882585
2017-05-01,0.7734550235903782
2017-06-01,0.7806401249024201
2017-07-01,0.7694675284702985
2017-08-01,0.7720815318097591
2017-09-01,0.7496251874062968
2017-10-01,0.7574609907589759
2017-11-01,0.7566013467503971
2017-12-01,0.7460459564309161
2018-01-01,0.7233796296296295
2018-02-01,0.7162810686913545
2018-03-01,0.7155123068116772
2018-04-01,0.710277718587968
2018-05-01,0.7423904974016333
2018-06-01,0.7522190461862495
2018-07-01,0.759762953958365
2018-08-01,0.7765180928715639
2018-09-01,0.765345170671973
2018-10-01,0.7685213648939441
2018-11-01,0.7751937984496123
2018-12-01,0.7896399241945673
2019-01-01,0.7751337105650724
2019-02-01,0.7682851874615857
2019-03-01,0.75947444368497
2019-04-01,0.767518612326349
2019-05-01,0.777907429015947
2019-06-01,0.7889546351084812
2019-07-01,0.8025038118931065
2019-08-01,0.8223684210526316
2019-09-01,0.8084727948904519
2019-10-01,0.790076637433831
2019-11-01,0.776156473144986
2019-12-01,0.7628346937218705
2020-01-01,0.7647598654022636
2020-02-01,0.7720219254226821
2020-03-01,0.8084727948904519
2020-04-01,0.8051529790660226
2020-05-01,0.8128759551292473
2020-06-01,0.7985307035055498
2020-07-01,0.7873395795606645
2020-08-01,0.760861294985924
2020-09-01,0.7723797018614351
2020-10-01,0.7704160246533127
2020-11-01,0.7576905591756327
2020-12-01,0.7443799315170463
2021-01-01,0.7330840847445201
2021-02-01,0.7211365111415591
2021-03-01,0.7213445863088797
2021-04-01,0.7222824124232574
2021-05-01,0.7100255609201931
2021-06-01,0.7130124777183601
2021-07-01,0.7242178447276941
2021-08-01,0.7247952453431906
2021-09-01,0.7282260413632392
2021-10-01,0.7298737318443909
2021-11-01,0.7427764985515858
2021-12-01,0.7517101405697962
2022-01-01,0.7377351530800443
2022-02-01,0.7385524372230428
2022-03-01,0.7594167679222358
2022-04-01,0.7732158045310447
2022-05-01,0.8039877793857533
2022-06-01,0.8116883116883117
2022-07-01,0.8342370901810294
2022-08-01,0.8345155637152634
2022-09-01,0.88339222614841
2022-10-01,0.8824567596187787
2022-11-01,0.8527330092947898
2022-12-01,0.8210180623973727
2023-01-01,0.8171937566396993
2023-02-01,0.8275405494869249
2023-03-01,0.8238589553468446
2023-04-01,0.8034709946970915
2023-05-01,0.8010253123998718
2023-06-01,0.7919537499010059
2023-07-01,0.7756146746296441
2023-08-01,0.7870297497245397
2023-09-01,0.80768920119538
2023-10-01,0.8213552361396304
2023-11-01,0.804052424218059
2023-12-01,0.790076637433831
2024-01-01,0.7873395795606645
2024-02-01,0.7917656373713381
2024-03-01,0.7865963973884998
2024-04-01,0.7989134776703682
2024-05-01,0.7913896802785692
2024-06-01,0.786410821012897
2024-07-01,0.7770007770007771
2024-08-01,0.772499034376207
